report_id,timestamp,latitude,longitude,description,category,severity,image_path
R-2039,2026-09-04T05:41:04,12.996664,79.155228,Speed limit sign is knocked down flat on the grass by the middle school entrance.,normal_road,20,images/noise_06.jpg
R-2040,2026-09-04T05:43:41,12.971624,79.15851,"hey u guys need to send someone quick, a pipe broke under the pavement near maple and now water is shooting out like crazy and lifting the road up.",water_main_leak,82,images/burst_05.jpg
R-2041,2026-09-04T05:45:19,12.97168,79.15832,"A catastrophic water main failure has occurred on Broadway; high-pressure water is gushing uncontrollably, washing away chunks of the concrete roadway.",water_main_leak,77,images/burst_05.jpg
R-2042,2026-09-04T05:45:33,13.005032,79.164869,Drain cover is completely buried under wet mulch and trash. Water is backing up and creating a lake in the middle of the intersection.,drain_blockage,75,images/drain_01.jpg
R-2043,2026-09-04T05:48:37,12.97139,79.158487,"The asphalt just caved in where a heavy flow of water is bubbling up from a broken underground main, hazard level is extreme.",water_main_leak,79,images/burst_01.jpg
R-2044,2026-09-04T05:50:42,12.975006,79.154822,Waste water backing up onto the street from a capped manhole cover. Very strong foul odor present.,sewer_overflow,67,images/drain_03.jpg
R-2045,2026-09-04T05:53:55,12.971702,79.15845,"water main broke down by the industrial park and its literally a river out here right now, pavement is totally cracking apart from the pressure.",water_main_leak,80,images/burst_02.jpg
R-2046,2026-09-04T06:02:07,12.954742,79.170085,"Immediate dispatch needed: Water main has completely blown out, sending torrents of water across all lanes while the road surface rapidly breaks apart.",water_main_leak,81,images/burst_02.jpg
R-2047,2026-09-04T06:04:30,12.971505,79.15851,"Huge underground pipe failure at Pine and 12th, water shooting straight out of the asphalt and flooding neighboring properties at an alarming rate.",water_main_leak,76,images/burst_08.jpg
R-2048,2026-09-04T06:06:18,12.971704,79.158475,"yo there is a crazy leak on 8th street, water is bubbling up like a boiling pot and the whole street is about to wash out.",water_main_leak,78,images/burst_05.jpg
R-2049,2026-09-04T06:08:46,12.955046,79.170133,Urgent notification: Major water main fracture resulting in heavy gushing flows that are rapidly submerging vehicles and fracturing the street structure.,water_main_leak,83,images/burst_01.jpg
R-2050,2026-09-04T06:17:41,12.977681,79.174756,Tree roots busted through the sidewalk blocks making it impossible to walk past with a stroller.,normal_road,8,images/noise_02.jpg
R-2051,2026-09-04T06:18:59,13.005024,79.165152,"Hey someone needs to check the sewer line on oak street, dirty water is spilling out onto the road.",sewer_overflow,60,images/drain_06.jpg
R-2052,2026-09-04T06:19:44,12.972302,79.170894,Mysterious slick patch on the road near the curve on Cedar road causing cars to skid slightly when turning.,normal_road,18,images/noise_05.jpg
R-2053,2026-09-04T06:27:51,12.971355,79.158381,Urgent: A water main just blew completely apart in front of 402 Oak Ave. High pressure water is blasting like six feet in the air and washing away the gravel.,pipe_leak,84,images/burst_02.jpg
R-2054,2026-09-04T06:30:34,12.954999,79.169667,Underground pipe busted big time on Pine Rd. The asphalt actually cracked open and now millions of gallons of water are rushing down toward the lower blocks.,pipe_leak,84,images/burst_03.jpg
R-2055,2026-09-04T06:34:36,12.971534,79.158527,"Hey someone need to send crew quick to Maple and 12th. A pipe burst underground and water is surging up with crazy pressure, flooding driveways already.",pipe_leak,81,images/burst_06.jpg
R-2056,2026-09-04T06:35:09,13.007495,79.134526,Couple of nasty potholes forming right in the middle of the residential lane on Maple Court.,normal_road,17,images/noise_04.jpg
R-2057,2026-09-04T06:35:13,12.971794,79.15867,"CRITICAL EMERGENCY: Water main rupture at the corner of Cedar and Broadway. Massive flooding happening right now, water is shooting out from under the pavement.",pipe_leak,80,images/burst_07.jpg
R-2058,2026-09-04T06:36:37,12.950095,79.174988,The pavement on oak street is permanently damp right over where the main line runs. Noticed it about two days ago and the weather has been totally dry.,pipe_leak,58,images/trickle_04.jpg
R-2059,2026-09-04T06:37:21,12.954824,79.169914,"An intense geyser of water is erupting from a fractured main on Cedar Lane, tearing the tarmac apart and creating a dangerous flash flood.",water_main_leak,81,images/burst_07.jpg
R-2060,2026-09-04T06:39:08,12.971633,79.158441,"major water main just blew up near the gas station, water is shooting super high and the blacktop is cracking open everywhere.",water_main_leak,88,images/burst_02.jpg
R-2061,2026-09-04T06:40:36,12.954985,79.170045,High-priority alert: Subterranean water main rupture causing a massive volume of water to flood the roadway while the pavement splits wide open.,water_main_leak,83,images/burst_07.jpg
R-2062,2026-09-04T06:44:48,12.971709,79.158715,There is a busted pipe under Washington St spewing water like crazy. The street is turning into a river and the pressure sounds like a jet engine.,pipe_leak,75,images/burst_05.jpg
R-2063,2026-09-04T06:54:35,12.950023,79.174953,A weird little stream of water is trickling down the gutter even though there was no rain. Looks like a slow leak coming up from a crack in the road.,pipe_leak,63,images/trickle_04.jpg
R-2064,2026-09-04T07:03:50,12.95493,79.169866,"Water is gushing out of a massive split in the asphalt on Washington Blvd, forming a deep pool that is rapidly trapping morning commuters.",water_main_leak,77,images/burst_02.jpg
R-2065,2026-09-04T07:05:24,12.955118,79.169997,Water main break on 8th street is out of control. Huge amounts of water are gushing from a crack in the blacktop and basements are at risk.,pipe_leak,77,images/burst_08.jpg
R-2066,2026-09-04T07:08:37,12.971576,79.158562,Emergency report: underground water line exploded near the community center. Water is spraying high into the air and flooding the entire parking lot.,pipe_leak,78,images/burst_07.jpg
R-2067,2026-09-04T07:17:15,12.99477,79.185015,There is a blocked catch basin on 12th Street. Water is backing up and starting to creep toward the front steps of the nearby houses.,drain_blockage,63,images/drain_06.jpg
R-2068,2026-09-04T07:17:21,12.97137,79.158638,"Major pipe burst on Sunset Boulevard! The asphalt buckled and now water is shooting straight up with intense pressure, blocking traffic completely.",pipe_leak,78,images/burst_08.jpg
R-2069,2026-09-04T07:19:48,12.95001,79.174994,Ever since Sunday night there has been a soggy spot on the grass strip next to the sidewalk. It is squishy when you step on it and the water just wont go away.,pipe_leak,42,images/trickle_01.jpg
R-2070,2026-09-04T07:19:59,12.954036,79.154909,The overhead street light is completely out on the dark stretch by the library parking lot.,normal_road,16,images/noise_04.jpg
R-2071,2026-09-04T07:20:25,12.954823,79.170269,omg a pipe bust open right in the middle of our block and water is bubbling up so fast the street is literally floating away.,water_main_leak,76,images/burst_02.jpg
R-2072,2026-09-04T07:22:51,12.954946,79.170069,"Severe infrastructure failure: Main water line shattered, generating a high-pressure jet that is tearing up the roadbed and flooding local intersections.",water_main_leak,82,images/burst_03.jpg
R-2073,2026-09-04T07:23:57,12.971515,79.158453,"Rapidly worsening situation as a broken water main pumps thousands of gallons onto the street, causing the asphalt to buckle and break apart.",water_main_leak,85,images/burst_08.jpg
R-2074,2026-09-04T07:26:24,12.971644,79.158357,hey guys hurry up the street is cracking and water is shooting right up out of the ground like a fountain by the park.,water_main_leak,81,images/burst_04.jpg
R-2075,2026-09-04T07:31:34,12.955056,79.134786,Raw sewage overflowing into the bike lane from a loose manhole. Smells like rotten eggs and garbage.,sewer_overflow,64,images/drain_01.jpg
R-2076,2026-09-04T07:32:37,12.954898,79.170079,"Emergency advisory: Catastrophic underground pipe break producing heavy, unchecked water flow that is actively eroding the pavement and flooding the block.",water_main_leak,84,images/burst_04.jpg
R-2077,2026-09-04T07:38:18,12.949855,79.175012,Water is bubbling up very slowly through a tiny hole in the blacktop. It's been flowing continuously for over twenty four hours with zero precipitation.,pipe_leak,52,images/trickle_06.jpg
R-2078,2026-09-04T07:44:22,12.95485,79.169765,The pavement is breaking up into huge chunks because a massive water main just ruptured underneath and is flooding everything in sight.,water_main_leak,78,images/burst_06.jpg
R-2079,2026-09-04T07:44:54,12.97179,79.158503,Help! A water pipe just burst underneath the road on 3rd Ave. Water is gushing out rapidly and flooding the local shops.,pipe_leak,87,images/burst_02.jpg
R-2080,2026-09-04T07:45:41,12.954971,79.169908,URGENT: massive underground leak or burst on Industrial Parkway. Water is bubbling up aggressively through the cracks and starting to pool deep.,pipe_leak,75,images/burst_04.jpg
R-2081,2026-09-04T07:46:36,12.971427,79.158566,"urgent fix needed now, water main broke and its gushing out so hard that the asphalt is completely cracking in half.",water_main_leak,82,images/burst_06.jpg
R-2082,2026-09-04T08:00:58,12.994759,79.16758,Old sofa and broken chairs left abandoned right on the grass strip beside the sidewalk on 8th street.,normal_road,18,images/noise_02.jpg
R-2083,2026-09-04T08:03:04,13.00498,79.164947,Dark grey waste water is bubbling out of the drain and pooling across the entire sidewalk.,sewer_overflow,76,images/drain_02.jpg
R-2084,2026-09-04T08:05:19,12.971702,79.158516,"Critical water main breach producing a torrential overflow, with pressurized water bubbling aggressively through splitting pavement across both lanes.",water_main_leak,88,images/burst_05.jpg
R-2085,2026-09-04T08:05:38,12.989309,79.188772,Pack of stray cats congregating around the alley dumpsters causing a ruckus every night.,normal_road,24,images/noise_05.jpg
R-2086,2026-09-04T08:06:46,12.995136,79.18492,Drain grate is blocked by old cardboard boxes and leaves. Water is pooling badly and won't drain at all.,drain_blockage,69,images/drain_03.jpg
R-2087,2026-09-04T08:12:56,12.971327,79.158438,Street is caving in on 14th street because a water pipe burst below. Water is blasting out with huge force and flooding the intersection.,pipe_leak,77,images/burst_06.jpg
R-2088,2026-09-04T08:15:34,12.971531,79.158494,"Yo, water main just blew on Market St near the bank. Water is shooting like a fountain right out of the asphalt and cars are swerving.",pipe_leak,80,images/burst_07.jpg
R-2089,2026-09-04T08:23:09,12.955096,79.170073,"Massive torrent of water erupting from a fractured main on 4th street, asphalt is completely shattering and washing down the block.",water_main_leak,83,images/burst_04.jpg
R-2090,2026-09-04T08:26:01,12.975183,79.155126,The storm drain in the alley behind Main St is clogged with yard waste. Stagnant water is pooling and smelling really bad.,drain_blockage,73,images/drain_01.jpg
R-2091,2026-09-04T08:32:37,12.955106,79.169733,"Severe pipe rupture on Highland Ave. Water is rushing out with tremendous pressure, creating a massive flood hazard for pedestrians.",pipe_leak,79,images/burst_05.jpg
R-2092,2026-09-04T08:34:04,12.974827,79.154956,Overflowing manhole spewing foul sewage water onto the asphalt. Nasty smell drifting into nearby homes.,sewer_overflow,77,images/drain_05.jpg
R-2093,2026-09-04T08:34:09,12.94988,79.174916,There is a perpetual wet spot in the middle of our driveway entrance. It feels like an underground pipe is weeping because it never gets a chance to dry out.,pipe_leak,50,images/trickle_04.jpg
R-2094,2026-09-04T08:34:53,12.971606,79.158622,dude a massive pipe just blew underneath the road by the school and water is shooting way up in the air like a crazy fountain.,water_main_leak,84,images/burst_06.jpg
R-2095,2026-09-04T08:41:31,12.954872,79.16985,Emergency dispatch needed at Birch and Lake St. An underground pipe popped and water is gushing across all lanes instantly.,pipe_leak,80,images/burst_07.jpg
R-2096,2026-09-04T08:45:02,12.971802,79.158312,There's a crazy water pressure blow out on 21st Ave. Water is shooting through the road cracks and flooding the curb in seconds.,pipe_leak,82,images/burst_04.jpg
R-2097,2026-09-04T08:47:56,12.985281,79.178813,One way sign is hidden behind overgrown tree branches and nobody can read it until they turn.,normal_road,5,images/noise_05.jpg
R-2098,2026-09-04T08:48:43,12.949937,79.174977,A slow leak seems to be happening near the storm drain. The ground is saturated and water is trickling out steadily since yesterday morning.,pipe_leak,47,images/trickle_04.jpg
R-2099,2026-09-04T08:49:29,12.975065,79.154961,Blocked storm drain grates are causing water to back up onto the sidewalk near the park entrance. Please unclog.,drain_blockage,59,images/drain_04.jpg
R-2100,2026-09-04T08:49:56,12.974962,79.154814,Water is pooling knee deep near the storm drain cover because someone dumped grass clippings right over the grate.,drain_blockage,76,images/drain_03.jpg
R-2101,2026-09-04T08:55:49,12.97174,79.158485,Critical emergency: Catastrophic underground pipe failure causing a violent gush of water that is rapidly inundating the entire intersection.,water_main_leak,83,images/burst_03.jpg
R-2102,2026-09-04T08:59:45,12.950028,79.174997,Noticed a damp patch on the side street that smells like clean tap water. It has been pooling slightly for a couple of days now without any rain.,pipe_leak,53,images/trickle_04.jpg
R-2103,2026-09-04T09:03:57,12.971558,79.158573,URGENT: Water main cracked open on Grand Avenue. Immense pressure is sending water shooting into the air and flooding storefronts.,pipe_leak,80,images/burst_02.jpg
R-2104,2026-09-04T09:07:17,12.971713,79.158437,"The blacktop is literally peeling back as a high pressure water main bursts open, flooding the whole street in a matter of minutes.",water_main_leak,78,images/burst_03.jpg
R-2105,2026-09-04T09:07:21,12.960573,79.161754,Sidewalk tile is missing entirely leaving a deep hole right outside the bakery entrance.,normal_road,23,images/noise_03.jpg
R-2106,2026-09-04T09:08:25,12.97173,79.158527,"urgent water main break on cherry st, huge bubbles coming up through the pavement and its starting to flood people's front yards.",water_main_leak,81,images/burst_04.jpg
R-2107,2026-09-04T09:09:14,12.971581,79.158379,Pipe burst beneath the pavement on Victoria Street. Water is gushing heavily and the whole block is starting to flood.,pipe_leak,86,images/burst_04.jpg
R-2108,2026-09-04T09:15:54,12.954901,79.170067,Major emergency at 10th and Central: water main just ruptured underground. Water is bursting up through the asphalt like a fountain.,pipe_leak,85,images/burst_08.jpg
R-2109,2026-09-04T09:17:45,12.955033,79.169885,"Severe infrastructure breach with a ruptured subterranean pipe unleashing a heavy, uncontrolled torrent that is tearing the road apart.",water_main_leak,76,images/burst_05.jpg
R-2110,2026-09-04T09:26:44,12.954998,79.169959,Alert! Underground water pipe failure on Riverside Drive. Water is gushing furiously and washing out the side of the road.,pipe_leak,84,images/burst_03.jpg
R-2111,2026-09-04T09:27:41,12.971614,79.158609,"Water is shooting straight out of deep cracks in the asphalt on Sunset Blvd, creating an immediate flooding hazard for drivers.",water_main_leak,90,images/burst_04.jpg
R-2112,2026-09-04T09:29:49,12.971664,79.158389,Crazy water main break on King Street. The pressure is so high water is shooting out of the ground and flooding the intersection.,pipe_leak,92,images/burst_07.jpg
R-2113,2026-09-04T09:30:06,13.008636,79.154455,Weird oily patch on the asphalt near the station drop-off zone that looks slippery.,normal_road,8,images/noise_02.jpg
R-2114,2026-09-04T09:32:00,12.971657,79.158273,"Urgent assistance required on Miller Road. A massive pipe blew underneath, and water is rushing out in torrents, flooding yards.",pipe_leak,81,images/burst_02.jpg
R-2115,2026-09-04T09:42:24,12.971685,79.158386,"omg the street just cracked wide open and water is gushing out like crazy, completely flooding the turn lane near the mall.",water_main_leak,87,images/burst_05.jpg
R-2116,2026-09-04T09:42:48,12.971673,79.158608,Immediate attention required: Major water line fracture producing a high velocity jet that is aggressively breaking up the surrounding pavement.,water_main_leak,90,images/burst_07.jpg
R-2117,2026-09-04T09:43:25,12.963981,79.132719,Jagged edge on a pothole near the hardware store blew out my neighbor's tire yesterday.,normal_road,10,images/noise_03.jpg
R-2118,2026-09-04T09:45:25,12.955128,79.169998,"A huge underground water main gave way near the bridge, sending an overwhelming volume of water rushing across the lanes and destroying the road.",water_main_leak,80,images/burst_05.jpg
R-2119,2026-09-04T09:46:48,12.955099,79.170163,"hey someone needs to get out here fast, a pipe broke and water is bubbling up so hard the whole street is turning into a lake.",water_main_leak,81,images/burst_04.jpg
R-2120,2026-09-04T10:00:32,12.971459,79.158686,"Urgent alert: Severe water main rupture sending pressurized water skyward, causing the concrete roadway to rapidly buckle and disintegrate.",water_main_leak,92,images/burst_08.jpg
R-2121,2026-09-04T10:01:23,12.971563,79.158606,"Water is gushing out in thick sheets from a busted main on Miller Avenue, eroding the asphalt and trapping cars in the flood.",water_main_leak,96,images/burst_03.jpg
R-2122,2026-09-04T10:06:04,12.955204,79.169859,"Emergency: water main exploded on Park Place. Water is gushing up through the cracks with immense pressure, causing rapid flooding.",pipe_leak,90,images/burst_06.jpg
R-2123,2026-09-04T10:10:27,12.975116,79.155141,The manhole lid is pushed up and dirty black water is gushing out onto the street corner.,sewer_overflow,65,images/drain_06.jpg
R-2124,2026-09-04T10:11:52,13.004867,79.164871,The drainage grate is completely plugged with trash and silt. Dirty water is pooling all over the bike lane and making it unsafe.,drain_blockage,70,images/drain_05.jpg
R-2125,2026-09-04T10:20:41,12.994777,79.18509,Storm drain on Cedar Lane is blocked by a bunch of branches. Water is backing up and flooding the street edge.,drain_blockage,71,images/drain_06.jpg
R-2126,2026-09-04T10:20:51,12.949084,79.174286,Broken glass all over the bike lane on University Avenue from some smashed bottles.,normal_road,18,images/noise_01.jpg
R-2127,2026-09-04T10:21:16,12.971549,79.158503,A huge underground water pipe just burst near the station on Lincoln St. Water is shooting out of the asphalt and flooding fast.,pipe_leak,94,images/burst_01.jpg
R-2128,2026-09-04T10:23:11,12.975077,79.155175,Strong sewage stench and dirty water backing up from the manhole cover near the grocery store.,sewer_overflow,55,images/drain_06.jpg
R-2129,2026-09-04T10:24:03,12.955082,79.170033,"major pipe bust near the grocery store, water is shooting out of the cracks and the street surface is totally breaking up.",water_main_leak,83,images/burst_07.jpg
R-2130,2026-09-04T10:25:03,12.975011,79.155011,Disgusting brown sludge and waste water overflowing onto the walking path by the creek.,sewer_overflow,72,images/drain_01.jpg
R-2131,2026-09-04T10:25:08,12.971505,79.158605,Critical situation on Summit Ave where a water main has completely given way. Water is blasting through the pavement and flooding everything.,pipe_leak,89,images/burst_07.jpg
R-2132,2026-09-04T10:26:13,12.954894,79.169863,"Critical water main failure generating an intense geyser, rapidly flooding the roadway while large chunks of pavement break away.",water_main_leak,86,images/burst_01.jpg
R-2133,2026-09-04T10:26:45,12.945038,79.145087,Sewer backup is flooding the intersection with filthy water. The odor is completely unbearable.,sewer_overflow,58,images/drain_02.jpg
R-2134,2026-09-04T10:27:53,12.955023,79.170034,Emergency crew needed right now at 9th and Pine. A water line just gave way underground and water is shooting up through the blacktop like crazy.,pipe_leak,78,images/burst_08.jpg
R-2135,2026-09-04T10:31:19,12.971561,79.158375,"URGENT: Major water main break on Cooper St. The street is literally lifting up as water gushes out with insane pressure, flooding the neighborhood.",pipe_leak,85,images/burst_08.jpg
R-2136,2026-09-04T10:32:47,12.971451,79.158698,"Subterranean pipe explosion on 22nd street, heavy flows of water are bubbling up aggressively and flooding the surrounding neighborhood.",water_main_leak,84,images/burst_04.jpg
R-2137,2026-09-04T10:34:07,12.971652,79.158372,yo the road is caving in because a huge water main broke right underneath and its gushing water everywhere super fast.,water_main_leak,83,images/burst_06.jpg
R-2138,2026-09-04T10:35:22,12.971943,79.158456,Emergency dispatch needed: Massive water main breach creating a torrential overflow that is aggressively tearing up the asphalt roadway.,water_main_leak,87,images/burst_06.jpg
R-2139,2026-09-04T10:36:16,13.004969,79.165043,Manhole is overflowing with foul smelling greywater right in front of the elementary school.,sewer_overflow,55,images/drain_04.jpg
R-2140,2026-09-04T10:39:15,12.943784,79.143077,"Stray pit bull roaming around the school bus stop without a collar, kids are scared.",normal_road,18,images/noise_04.jpg
R-2141,2026-09-04T10:48:17,13.005032,79.164876,Black wastewater is spilling out of the manhole and creating a huge toxic puddle on the street.,sewer_overflow,56,images/drain_03.jpg
R-2142,2026-09-04T10:55:09,12.971368,79.158712,"Water is bubbling up violently through fracturing pavement on Grand Avenue, pointing to a catastrophic underground main failure.",water_main_leak,88,images/burst_08.jpg
R-2143,2026-09-04T10:58:01,12.95501,79.135004,Terrible foul smell coming from the street where dirty waste water is backing up out of the drain.,sewer_overflow,63,images/drain_03.jpg
R-2144,2026-09-04T10:59:10,12.949922,79.175081,There is a tiny stream coming out from under the curb. It is a slow leak that has been running non stop since Saturday afternoon.,pipe_leak,58,images/trickle_06.jpg
R-2145,2026-09-04T11:00:35,12.971519,79.158561,omg a water pipe just exploded on our street and its shooting water like ten feet high while the pavement cracks in half.,water_main_leak,87,images/burst_05.jpg
R-2146,2026-09-04T11:15:01,12.971736,79.158367,Water pipe exploded under the pavement on Oxford Road. Huge volume of water is blasting out and turning the whole block into a lake.,pipe_leak,92,images/burst_04.jpg
R-2147,2026-09-04T11:17:47,12.95,79.174969,The soil around the utility cover is completely soaked through. Water has been slowly oozing out of the earth for more than a day now.,pipe_leak,56,images/trickle_05.jpg
R-2148,2026-09-04T11:26:34,12.954822,79.169762,"High priority incident: Major water main break causing a heavy, unchecked flow that is washing away the street and flooding intersections.",water_main_leak,79,images/burst_05.jpg
R-2149,2026-09-04T11:26:54,12.954978,79.169938,"The pavement is actively lifting and breaking apart as a high-pressure underground water line ruptures, sending torrents across the road.",water_main_leak,88,images/burst_01.jpg
R-2150,2026-09-04T11:27:27,12.971466,79.158638,"hey hurry up and fix this, a water main totally blew out and its gushing so much water the whole street is flooding out.",water_main_leak,87,images/burst_08.jpg
R-2151,2026-09-04T11:39:58,12.945059,79.14521,Overflowing sewer manhole is leaking foul smelling waste water all over the sidewalk and curb.,sewer_overflow,54,images/drain_06.jpg
R-2152,2026-09-04T11:53:09,12.9713,79.15848,Critical emergency report: Severe underground pipe break producing a massive water fountain that is tearing up the tarmac and flooding the block.,water_main_leak,88,images/burst_03.jpg
R-2153,2026-09-04T11:56:35,12.971598,79.158636,"A massive water main has split wide open near the station, sending heavy streams of water across the lanes and breaking the pavement apart.",water_main_leak,93,images/burst_06.jpg
R-2154,2026-09-04T12:03:12,12.990242,79.133838,Yield sign is faded so badly that drivers are just blowing right through the intersection.,normal_road,21,images/noise_02.jpg
R-2155,2026-09-04T12:04:54,12.988904,79.171515,Massive pothole right in front of the post office is tearing up suspension systems if you hit it too fast.,normal_road,12,images/noise_02.jpg
