report_id,timestamp,latitude,longitude,description,image_path,category
R-1036,2026-09-04T16:43:39,12.970269,79.163328,The stop sign at the intersection of Cedar and 12th got completely knocked over by a delivery truck yesterday. Cars are just speeding right through without stopping and its super dangerous.,images/noise_03.jpg,non_water_issue
R-1037,2026-09-04T10:23:11,12.971457,79.158547,"water main just gave out on 21st street, huge river running down the road and tearing up the asphalt. needs attention immediately.",images/burst_04.jpg,water_main_leak
R-1038,2026-09-04T18:52:50,12.963125,79.139619,There is a really bad waterlogged road situation on Maple Street because the rain overwhelmed the sewers and the water just wont go down.,images/waterlog_01.jpg,waterlogging
R-1039,2026-09-04T12:59:31,12.971606,79.15863,Critical warning: Uncontrolled massive flow from a broken water main on 4th Street. The street surface is completely breaking up under the pressure.,images/burst_01.jpg,water_main_leak
R-1040,2026-09-04T11:22:07,12.971565,79.15858,"huge leak on maple st, water bubbling up like crazy and breaking the pavement up into big chunks. need help ASAP before it floods the whole block.",images/burst_01.jpg,water_main_leak
R-1041,2026-09-05T09:28:34,12.98373,79.152136,"Manhole is overflowing big time with murky, foul-smelling waste water. Total biohazard zone right now near the park entrance.",images/drain_01.jpg,sewer_overflow
R-1042,2026-09-04T17:39:44,12.969867,79.146569,Huge puddles spanning the whole right lane on highway 10 exit ramp because of the afternoon rain. Drivers keep hydroplaning.,images/waterlog_05.jpg,waterlogging
R-1043,2026-09-04T08:51:28,12.971818,79.15855,"main water line broke near high school, water bubbling up and cracking the road open. very dangerous situation right now.",images/burst_01.jpg,water_main_leak
R-1044,2026-09-04T19:03:08,12.972815,79.152576,Waterlogged road conditions near the central bus station following the storm. Cars are stalling out because the standing rainwater is way deeper than it looks.,images/waterlog_02.jpg,waterlogging
R-1045,2026-09-05T12:01:09,12.983623,79.151596,Drainage cover is dislodged near the corner store and dirty black water is pooling in the intersection. Very strong sewage odor.,images/drain_02.jpg,sewer_overflow
R-1046,2026-09-04T12:15:47,12.971657,79.15841,water main exploded outside my apartment building on 12th street. massive flooding and the asphalt is literally cracking right in half.,images/burst_06.jpg,water_main_leak
R-1047,2026-09-04T19:40:35,12.964595,79.136553,Massive standing puddles span a full traffic lane right in front of the grocery store due to blocked grates during the recent afternoon rain.,images/waterlog_04.jpg,waterlogging
R-1048,2026-09-04T09:39:01,12.97157,79.158677,Urgent report: Massive gushing water from a ruptured main on Cedar Road. Pavement is breaking up rapidly and water is rushing down the hill.,images/burst_06.jpg,water_main_leak
R-1049,2026-09-04T06:48:41,12.964777,79.164439,The public trash can at the corner park is overflowing onto the grass and the city hasn't emptied it in days. Rats and seagulls are starting to tear everything apart.,images/noise_01.jpg,non_water_issue
R-1050,2026-09-04T20:39:47,12.968694,79.143445,Stagnant rainwater has formed a giant lake in the middle of the intersection following the sudden downpour this afternoon.,images/waterlog_02.jpg,waterlogging
R-1051,2026-09-05T08:29:11,12.967254,79.155716,"Construction crew on Market Street left heavy metal plates covering a trench, and they bang loudly every single time a car drives over them. The noise is driving everyone in the apartments crazy.",images/noise_02.jpg,non_water_issue
R-1052,2026-09-04T14:41:19,12.978173,79.164799,There is a soggy patch of earth right above the utility line in our alleyway. A tiny puddle has formed and is staying full despite the dry weather.,images/trickle_02.jpg,slow_pipe_leak
R-1053,2026-09-04T18:01:31,12.965826,79.147997,Drainage is completely backed up after today's heavy rain. A huge pool of water is sitting across the northbound lane.,images/waterlog_01.jpg,waterlogging
R-1054,2026-09-04T13:53:07,12.971852,79.158381,"major water line broke near the station, water is bubbling up really high and making the street super dangerous to drive on.",images/burst_06.jpg,water_main_leak
R-1055,2026-09-05T13:09:49,12.983334,79.151842,Manhole cover is floating because dark foul-smelling waste water is rushing out from underneath. Watch out for the hazard.,images/drain_01.jpg,sewer_overflow
R-1056,2026-09-04T12:31:09,12.971446,79.158392,Catastrophic infrastructure failure on Oak Avenue. A huge gush of water is destabilizing the roadbed and creating an enormous sinkhole.,images/burst_04.jpg,water_main_leak
R-1057,2026-09-04T16:08:36,12.97814,79.164815,The pavement depression on Cedar street has been holding a shallow puddle of fresh water for two days straight. Nobody has touched it and it keeps getting replenished.,images/trickle_03.jpg,slow_pipe_leak
R-1058,2026-09-04T08:19:49,12.971576,79.15844,big water pipe busted open near the park. water is gushing out like a geyser and the street is already under a foot of water.,images/burst_06.jpg,water_main_leak
R-1059,2026-09-04T11:34:47,12.971724,79.158233,Emergency dispatch needed for a severe water main break on Victory Lane. Heavy volumes are rapidly flooding the tarmac and causing massive structural cracks.,images/burst_02.jpg,water_main_leak
R-1060,2026-09-04T08:57:53,12.971695,79.158316,EMERGENCY: huge underground pipe rupture on Elm Street. The road is flooding super fast and cars are starting to get trapped in the deep water.,images/burst_02.jpg,water_main_leak
R-1061,2026-09-04T13:42:25,12.971818,79.158639,Critical infrastructure breach: A primary water pipe has ruptured beneath Harbor Boulevard. Gushing torrents are quickly flooding multiple lanes and breaking the pavement.,images/burst_06.jpg,water_main_leak
R-1062,2026-09-04T14:52:26,12.978187,79.164742,The gutter on Chestnut street has a constant little trickle of water running down it even though it hasnt rained in a week. Looks like an underground leak.,images/trickle_01.jpg,slow_pipe_leak
R-1063,2026-09-04T21:03:11,12.980786,79.149214,There is a massive pothole right in the middle of Oak Street near the bakery that nearly tore my tire off this morning. Someone really needs to patch it before it causes a serious accident.,images/noise_03.jpg,non_water_issue
R-1064,2026-09-04T19:41:26,12.967682,79.137343,Standing puddles spanning a lane on Washington Street after the brief but intense rain. Please send a street sweeper.,images/waterlog_04.jpg,waterlogging
R-1065,2026-09-04T10:48:33,12.971571,79.15858,Massive water main failure on Summit Drive with high-pressure water blasting through the surface. The asphalt is splintering apart as a massive pool overtakes the block.,images/burst_05.jpg,water_main_leak
R-1066,2026-09-04T21:37:07,12.974996,79.153842,The recent heavy downpour caused severe waterlogging on our street. Stagnant rainwater is pooling near the sidewalk and won't recede.,images/waterlog_01.jpg,waterlogging
R-1067,2026-09-05T01:09:33,12.978187,79.16489,"Found a slow, steady seepage of water coming from underneath the sidewalk flags on Grand Avenue. It has created a slippery mossy patch that wont dry out.",images/trickle_01.jpg,slow_pipe_leak
R-1068,2026-09-04T17:51:11,12.965141,79.132646,Drainage is terribly slow on 4th Avenue after today's rain showers. A huge stretch of asphalt is still covered in murky puddles causing traffic to crawl.,images/waterlog_05.jpg,waterlogging
R-1069,2026-09-04T08:01:24,12.971408,79.15877,Major water main break happening right now by the community center. Heavy flow is washing away the sidewalk and cracking the street wide open.,images/burst_04.jpg,water_main_leak
R-1070,2026-09-05T03:41:09,12.96732,79.165361,Someone tagged the brick wall of the community center with ugly graffiti over the weekend. It looks terrible and needs to be power washed or painted over.,images/noise_03.jpg,non_water_issue
R-1071,2026-09-04T09:19:41,12.983306,79.146999,The pedestrian walk signal at Broadway and 8th is stuck on red for cars and never changes for people trying to cross. Pedestrians are forced to just run across when traffic clears.,images/noise_02.jpg,non_water_issue
R-1072,2026-09-04T11:28:34,12.978242,79.164724,"Ever since Sunday night, water has been slowly oozing up through the gravel shoulder on Wilson Road. It is a very low flow but its steady and forming a muddy patch.",images/trickle_04.jpg,slow_pipe_leak
R-1073,2026-09-04T10:17:14,12.971601,79.158729,Severe water main break detected at the corner of Broadway and 8th. Uncontrolled flow is rapidly submerging the intersection and tearing up pavement.,images/burst_05.jpg,water_main_leak
R-1074,2026-09-04T11:34:24,12.971832,79.158462,A massive water main just blew near 5th and Main! Water is gushing at least ten feet into the air and the asphalt is totally crumbling.,images/burst_01.jpg,water_main_leak
R-1075,2026-09-05T10:50:36,12.983654,79.151982,Yard drain is clogged and pushing up disgusting dark water onto the grass. Smells like a literal garbage dump.,images/drain_01.jpg,sewer_overflow
R-1076,2026-09-04T08:10:47,12.971544,79.158366,"yall theres a massive water main blowout on market street, water is gushing so hard and the street is totally ruined.",images/burst_04.jpg,water_main_leak
R-1077,2026-09-04T13:32:42,12.971803,79.158548,"huge water leak flooding the whole avenue right now, the blacktop is breaking up into pieces because of the pressure.",images/burst_02.jpg,water_main_leak
R-1078,2026-09-04T11:11:22,12.971462,79.158357,Severe infrastructure emergency: A massive water main has fractured on Grand Avenue. Rapid flooding and pavement destruction are underway.,images/burst_03.jpg,water_main_leak
R-1079,2026-09-04T15:50:52,12.978229,79.164786,Water has been seeping out from underneath the asphalt on 4th Avenue for at least two days now. Its creating a permanent damp patch that smells slightly musty.,images/trickle_01.jpg,slow_pipe_leak
R-1080,2026-09-04T18:08:07,12.960319,79.148676,Waterlogged road near the subway station. The rain stopped an hour ago but the standing rainwater is still ankle deep across one lane.,images/waterlog_02.jpg,waterlogging
R-1081,2026-09-04T18:39:18,12.963455,79.143162,Waterlogged road conditions on 9th street. The recent rain left stagnant rainwater pooling around the broken manhole cover.,images/waterlog_04.jpg,waterlogging
R-1082,2026-09-04T20:34:58,12.961244,79.136753,Slow drainage by the park entrance has created a dangerous hazard. Standing rainwater covers almost the whole turning lane after today's storm.,images/waterlog_03.jpg,waterlogging
R-1083,2026-09-04T19:01:48,12.959285,79.137111,The heavy rain left behind a nasty waterlogged section on Lincoln Boulevard where stagnant rainwater is trapped by the curb.,images/waterlog_01.jpg,waterlogging
R-1084,2026-09-04T13:16:52,12.971544,79.158771,dude the pipe under our street just blew completely. water is rushing like crazy and the whole road is starting to buckle inward.,images/burst_01.jpg,water_main_leak
R-1085,2026-09-04T18:20:48,12.967059,79.14786,Terrible drainage issues on Oak road. The heavy rain left a massive pool of standing rainwater that takes up an entire driving lane.,images/waterlog_03.jpg,waterlogging
R-1086,2026-09-05T13:44:06,12.98359,79.152149,Raw sewage is overflowing from the street manhole cover. The smell of foul waste water is drifting into all the nearby apartment windows.,images/drain_02.jpg,sewer_overflow
R-1087,2026-09-04T12:28:09,12.971848,79.158525,omg a huge pipe broke and water is everywhere!! the road is totally caving in and cars cant get past.,images/burst_06.jpg,water_main_leak
R-1088,2026-09-05T10:12:39,12.983452,79.151734,"There is a dislodged drainage grate in the alleyway and filthy, stinky sewage is spilling out everywhere. The odor is making people sick.",images/drain_03.jpg,sewer_overflow
R-1089,2026-09-04T16:29:12,12.953704,79.140645,Road is flooded near the elementary school after the afternoon rain. Standing rainwater is blocking pedestrian crossing completely.,images/waterlog_02.jpg,waterlogging
R-1090,2026-09-05T07:00:31,12.964885,79.162366,The streetlight on the corner of 5th and Elm has been flickering constantly for over a week and went completely dark last night. It is way too sketchy walking my dog around there now.,images/noise_02.jpg,non_water_issue
R-1091,2026-09-05T14:05:51,12.98354,79.151981,Street drain cover got knocked loose during the storm and now nasty grey-black water is bubbling up nonstop. Horrible stench in the air.,images/drain_01.jpg,sewer_overflow
R-1092,2026-09-04T11:49:22,12.971511,79.158559,"Hey someone needs to come out here quick, the pipe under the intersection is busted big time. Water is pouring everywhere and the road is sinking.",images/burst_02.jpg,water_main_leak
R-1093,2026-09-04T20:25:57,12.968556,79.148749,"After that sudden heavy rain, the corner of Pine and 2nd is underwater. Stagnant rainwater has been sitting there for hours with nowhere to drain.",images/waterlog_05.jpg,waterlogging
R-1094,2026-09-05T01:17:40,12.968109,79.173591,Low hanging tree branches from the city park are completely blocking the street sign for Miller Road. Drivers keep slamming on their brakes because they cant see where they are turning.,images/noise_01.jpg,non_water_issue
R-1095,2026-09-05T02:18:04,12.98648,79.167425,The metal slide at the children's playground in Chestnut Park has a sharp jagged edge where it cracked. A kid is going to get seriously cut if nobody comes to fix it.,images/noise_04.jpg,non_water_issue
R-1096,2026-09-04T08:50:22,12.971528,79.158427,"major water line broke open by the shopping plaza, water shooting up everywhere and tearing the street right up. send help quick.",images/burst_03.jpg,water_main_leak
R-1097,2026-09-04T08:57:57,12.976264,79.149985,My neighbor on Grand Avenue has been blasting music with heavy bass until 3 AM every single night this week. I have to work early and I am losing my mind from sleep deprivation.,images/noise_01.jpg,non_water_issue
R-1098,2026-09-04T14:32:57,12.978213,79.164957,There is a small puddle near the curb on Elm Street that hasnt dried up at all since yesterday afternoon. It just keeps bubbling up a tiny bit of water continuously.,images/trickle_01.jpg,slow_pipe_leak
R-1099,2026-09-04T17:17:14,12.963958,79.143564,Severe waterlogged road near the bridge following the afternoon downpour. Cars have to swerve to avoid the deep standing rainwater.,images/waterlog_05.jpg,waterlogging
R-1100,2026-09-05T13:04:37,12.983516,79.151891,Catch basin is backed up with gross black water overflowing onto the curb. The stench is giving me a massive headache.,images/drain_02.jpg,sewer_overflow
